pair,total_pnl,n_trades,avg_pnl
SLB/MPC,2011.78,2,1005.89
IR/AME,1604.44,1,1604.44
O/UDR,1379.69,2,689.84
JPM/GS,1230.95,1,1230.95
AXP/COF,992.19,3,330.73
WEC/ES,934.81,1,934.81
XOM/MPC,720.47,1,720.47
COP/DVN,410.12,1,410.12
PNC/FITB,381.03,7,54.43
AVB/MAA,325.09,2,162.55
HAL/BKR,296.17,1,296.17
AME/ITW,287.36,7,41.05
WEC/ETR,236.53,1,236.53
AEP/SRE,212.29,1,212.29
D/WEC,164.01,2,82.0
SO/EXC,154.18,2,77.09
D/ES,149.53,1,149.53
XOM/COP,132.72,1,132.72
ESS/UDR,110.32,3,36.77
COP/SLB,101.59,2,50.8
XEL/ES,81.11,1,81.11
AEP/WEC,77.96,6,12.99
XEL/WEC,63.29,2,31.65
EMR/ETN,58.13,1,58.13
PSA/UDR,31.86,4,7.97
GS/USB,10.06,1,10.06
DUK/PEG,3.17,1,3.17
XOM/CVX,1.51,1,1.51
ES/ETR,-2.31,1,-2.31
AEP/ETR,-80.3,9,-8.92
TFC/FITB,-118.72,2,-59.36
MAA/UDR,-121.94,2,-60.97
ETN/PH,-137.06,1,-137.06
D/AEP,-198.82,1,-198.82
LIN/APD,-224.19,1,-224.19
EQR/UDR,-281.83,3,-93.94
EMR/ROK,-342.06,1,-342.06
NEE/ETR,-366.32,1,-366.32
PH/IR,-377.34,5,-75.47
C/TFC,-426.73,1,-426.73
EQR/MAA,-474.81,1,-474.81
ETN/ITW,-507.2,1,-507.2
CVX/EOG,-509.04,2,-254.52
XEL/ETR,-524.22,2,-262.11
ITW/GWW,-562.41,1,-562.41
SO/AEP,-824.23,1,-824.23
FTV/ITW,-839.16,1,-839.16
AVB/UDR,-1017.72,1,-1017.72
COP/EOG,-1028.12,2,-514.06
PH/ITW,-1033.84,1,-1033.84
BAC/PNC,-1059.75,1,-1059.75
C/COF,-1072.28,1,-1072.28
AEP/XEL,-1105.18,1,-1105.18
