pair,adf_pvalue,half_life_days,ou_kappa,ou_sigma,mr_strength,zero_crossings_pa,pct_time_in_entry,spread_mean,spread_std
XEL/WEC,0.0,31.05,5.6255,6.291051,4.44,12.2,12.2,0.442342,1.891369
BAC/PNC,0.0,21.81,8.0106,7.097502,5.3,14.8,13.9,-1.178195,1.786796
BAC/FITB,0.0,24.08,7.2532,3.91121,5.02,14.6,14.3,0.725759,1.030656
ETN/PH,0.0,21.32,8.1922,9.14209,5.33,15.0,13.6,0.704292,2.264035
PNC/FITB,0.0,18.04,9.681,3.665649,5.88,15.8,13.1,2.310927,0.84763
TMO/DHR,0.0,20.17,8.6585,8.397848,5.51,16.1,13.0,1.689084,2.033398
CVX/COP,0.0,26.31,6.6399,5.033814,4.67,17.5,14.7,2.180168,1.350553
BAC/COF,0.0,22.29,7.8358,7.190478,5.25,13.6,13.7,0.016482,1.833724
PNC/COF,0.0,20.78,8.4039,6.980625,5.47,16.5,13.3,1.797519,1.73205
EQR/ESS,0.0,17.79,9.8169,6.328463,5.87,16.8,10.9,-0.521325,1.439369
